Rk,player,win_pct,ts_pct,ws,mp_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,pts_per_g
1,Steven Adams,0.6,0.597,5,27,9.3,2.6,0.7,1.1,10.7
2,Bam Adebayo,0.648,0.613,7.1,34.5,10.4,4.9,1.2,1.2,15.8
3,LaMarcus Aldridge,0.426,0.58,4.6,33.2,7.6,2.4,0.6,1.6,19.1
6,Jarrett Allen,0.472,0.656,6.3,26.6,9.7,1.4,0.6,1.5,11.1
12,Giannis Antetokounmpo,0.852,0.608,8.9,30.9,13.5,5.8,1.1,1.1,30
15,Carmelo Anthony,0.446,0.5,0.5,32.5,6.6,1.5,0.8,0.5,15.1
16,OG Anunoby,0.727,0.586,3.8,29.1,5.4,1.5,1.2,0.6,10.2
19,D.J. Augustin,0.436,0.544,2.3,26,2.4,4.7,0.7,0,10.7
20,Deandre Ayton,0.4,0.563,2.1,33,12,2.2,0.7,1.6,18.7
22,Marvin Bagley,0.389,0.512,0.4,25.7,7.5,0.8,0.5,0.9,14.2
23,Lonzo Ball,0.418,0.512,1.6,32,6.1,6.7,1.3,0.5,11.9
26,Harrison Barnes,0.389,0.565,3.3,34.6,4.9,2.2,0.6,0.1,14.5
27,RJ Barrett,0.309,0.466,-0.5,30.5,5.1,2.4,1,0.4,13.6
28,Will Barton,0.691,0.543,4.1,33.3,6.5,3.7,1.1,0.5,15.1
34,Bradley Beal,0.377,0.573,3.9,35.5,4.4,6.2,1,0.4,29.1
40,Dāvis Bertāns,0.377,0.625,3,29.3,4.6,1.8,0.7,0.7,15
45,Nemanja Bjelica,0.389,0.61,4.3,28.4,6.4,2.8,0.9,0.6,12.3
46,Eric Bledsoe,0.852,0.578,4.6,27.1,4.8,5.3,0.9,0.5,15.7
47,Bogdan Bogdanović,0.389,0.553,1.6,28.2,3.2,3.1,0.9,0.3,14.4
48,Bojan Bogdanović,0.667,0.611,4.2,33.3,4.1,2.1,0.6,0.1,21
53,Devin Booker,0.4,0.625,5.5,35.9,4.2,6.3,0.8,0.3,26.4
62,Miles Bridges,0.333,0.537,1.5,30.7,5.5,1.7,0.6,0.7,13
65,Malcolm Brogdon,0.582,0.54,3,30.8,4.7,7.3,0.7,0.2,16.6
66,Dillon Brooks,0.518,0.524,1.3,28.3,3.4,2,0.9,0.4,15.7
